"Defense_Subtype","AMR_Type","Cooccurrence_Count","Alpha_MLE","P_value","Cooccurrence_Type"
"PD-T7-2","tet(D)",19,2.13717460213274,0,"Positive"
"PD-T7-2","sul1",59,0.905088409996744,0,"Negative"
"PD-T7-2","blaTEM",59,0.811932334831788,0,"Negative"
"PD-T7-2","aac(6')-Ib",38,1.86293912400765,0,"Positive"
"PD-T7-2","arr-3",32,1.97531666133385,0,"Positive"
"PD-T7-2","aadA16",20,2.41960864978954,0,"Positive"
"AbiQ","dfrG",14,3.90709606934766,0,"Positive"
"AbiQ","blaZ",24,2.51797362058399,0,"Positive"
"AbiQ","blaR1",23,2.45131502076405,0,"Positive"
"AbiQ","blaI",23,2.47065908879562,0,"Positive"
"Lamassu Cap4-nuclease","blaDHA",13,2.9228396171488,0,"Positive"
"Uzume","blaDHA",23,2.69850259767882,0,"Positive"
"Uzume","sul1",53,0.912362461808681,0,"Negative"
"Uzume","armA",17,2.47867611437547,0,"Positive"
"Uzume","msr(E)",25,2.13084235933737,0,"Positive"
"Uzume","mph(E)",25,2.13521055952986,0,"Positive"
"Uzume","tmexC",19,3.58838550815685,0,"Positive"
"Uzume","tmexD",20,3.63042376948804,0,"Positive"
"Uzume","toprJ",20,3.6551441474114,0,"Positive"
"Uzume","dfrA15",25,5.50313296230842,0,"Positive"
"Pycsar","bla",25,4.5527151825375,0,"Positive"
"IetAS","aph(6)-Id",83,1.50223174116178,0,"Positive"
"IetAS","aph(3'')-Ib",83,1.5246021181699,0,"Positive"
"IetAS","sul2",82,1.44861874099586,0,"Positive"
"IetAS","qnrB",37,1.5602532819077,0,"Positive"
"IetAS","blaKPC",49,1.83123219446246,0,"Positive"
